family,father,mother,children,childNum,sex,childHeight
1,78.5,67,4,1,male,73.2
1,78.5,67,4,2,female,69.2
1,78.5,67,4,3,female,69
1,78.5,67,4,4,female,69
2,75.5,66.5,4,1,male,73.5
2,75.5,66.5,4,2,male,72.5
2,75.5,66.5,4,3,female,65.5
2,75.5,66.5,4,4,female,65.5
3,75,64,2,1,male,71
3,75,64,2,2,female,68
4,75,64,5,1,male,70.5
4,75,64,5,2,male,68.5
4,75,64,5,3,female,67
4,75,64,5,4,female,64.5
4,75,64,5,5,female,63
5,75,58.5,6,1,male,72
5,75,58.5,6,2,male,69
5,75,58.5,6,3,male,68
5,75,58.5,6,4,female,66.5
5,75,58.5,6,5,female,62.5
5,75,58.5,6,6,female,62.5
6,74,68,1,1,female,69.5
7,74,68,6,1,male,76.5
7,74,68,6,2,male,74
7,74,68,6,3,male,73
7,74,68,6,4,male,73
7,74,68,6,5,female,70.5
7,74,68,6,6,female,64
8,74,66.5,3,1,female,70.5
8,74,66.5,3,2,female,68
8,74,66.5,3,3,female,66
9,74.5,66,1,1,female,66
10,74,65.5,1,1,female,65.5
11,74,62,8,1,male,74
11,74,62,8,2,male,70
11,74,62,8,3,female,68
11,74,62,8,4,female,67
11,74,62,8,5,female,67
11,74,62,8,6,female,66
11,74,62,8,7,female,63.5
11,74,62,8,8,female,63
12,74,61,1,1,female,65
13,73,67,2,1,male,71
13,73,67,2,2,female,62
14,73,67,2,1,male,68
14,73,67,2,2,male,67
15,73,66.5,3,1,male,71
15,73,66.5,3,2,male,70.5
15,73,66.5,3,3,female,66.7
16,73,65,9,1,male,72
16,73,65,9,2,male,70.5
16,73,65,9,3,male,70.2
16,73,65,9,4,male,70.2
16,73,65,9,5,male,69.2
16,73,65,9,6,female,68.7
16,73,65,9,7,female,66.5
16,73,65,9,8,female,64.5
16,73,65,9,9,female,63.5
17,73,64.5,6,1,male,74
17,73,64.5,6,2,male,73
17,73,64.5,6,3,male,71.5
17,73,64.5,6,4,male,62.5
17,73,64.5,6,5,female,66.5
17,73,64.5,6,6,female,62.3
18,73,64,3,1,female,66
18,73,64,3,2,female,64.5
18,73,64,3,3,female,64
19,73.2,63,1,1,female,62.7
20,72.7,69,8,1,male,73.2
20,72.7,69,8,2,male,73
20,72.7,69,8,3,male,72.7
20,72.7,69,8,4,female,70
20,72.7,69,8,5,female,69
20,72.7,69,8,6,female,68.5
20,72.7,69,8,7,female,68
20,72.7,69,8,8,female,66
21,72,68,3,1,male,73
21,72,68,3,2,female,68.5
21,72,68,3,3,female,68
22,72,67,3,1,male,73
22,72,67,3,2,male,71
22,72,67,3,3,female,67
23,72,65,7,1,male,74.2
23,72,65,7,2,male,70.5
23,72,65,7,3,male,69.5
23,72,65,7,4,female,66
23,72,65,7,5,female,65.5
23,72,65,7,6,female,65
23,72,65,7,7,female,65
24,72,65.5,1,1,female,65.5
25,72,64,2,1,female,66
25,72,64,2,2,female,63
26,72,63,5,1,male,70.5
26,72,63,5,2,male,70.5
26,72,63,5,3,male,69
26,72,63,5,4,female,65
26,72,63,5,5,female,63
27,72,63,3,1,male,69
27,72,63,3,2,male,67
27,72,63,3,3,female,63
28,72,63,6,1,male,73
28,72,63,6,2,male,67
28,72,63,6,3,female,70.5
28,72,63,6,4,female,70
28,72,63,6,5,female,66.5
28,72,63,6,6,female,63
29,72.5,63.5,3,1,female,67.5
29,72.5,63.5,3,2,female,67.2
29,72.5,63.5,3,3,female,66.7
30,72,62,1,1,female,64
31,72.5,62,6,1,male,71
31,72.5,62,6,2,male,70
31,72.5,62,6,3,male,70
31,72.5,62,6,4,female,66
31,72.5,62,6,5,female,65
31,72.5,62,6,6,female,65
32,72,62,5,1,male,74
32,72,62,5,2,male,72
32,72,62,5,3,male,69
32,72,62,5,4,female,67.5
32,72,62,5,5,female,63.5
33,72,62,5,1,male,72
33,72,62,5,2,male,71.5
33,72,62,5,3,male,71.5
33,72,62,5,4,male,70
33,72,62,5,5,female,68
34,72,61,1,1,female,65.7
35,71,69,5,1,male,78
35,71,69,5,2,male,74
35,71,69,5,3,male,73
35,71,69,5,4,male,72
35,71,69,5,5,female,67
36,71,67,4,1,male,73.2
36,71,67,4,2,male,73
36,71,67,4,3,male,69
36,71,67,4,4,female,67
37,71,66,4,1,male,70
37,71,66,4,2,female,67
37,71,66,4,3,female,67
37,71,66,4,4,female,66.5
38,71,66,6,1,male,70
38,71,66,6,2,male,69
38,71,66,6,3,male,68.5
38,71,66,6,4,female,66
38,71,66,6,5,female,64.5
38,71,66,6,6,female,63
39,71,66,2,1,male,71
39,71,66,2,2,female,67
40,71,66,5,1,male,76
40,71,66,5,2,male,72
40,71,66,5,3,male,71
40,71,66,5,4,male,66
40,71,66,5,5,female,66
41,71.7,65.5,1,1,male,70.5
42,71,65.5,6,1,male,72
42,71,65.5,6,2,male,72
42,71,65.5,6,3,male,71
42,71,65.5,6,4,male,69
42,71,65.5,6,5,female,66
42,71,65.5,6,6,female,65
43,71.5,65.5,2,1,male,73
43,71.5,65.5,2,2,female,65.2
44,71.5,65,2,1,male,68.5
44,71.5,65,2,2,male,67.7
45,71,65,3,1,male,68
45,71,65,3,2,male,68
45,71,65,3,3,female,62
46,71,64,8,1,female,68
46,71,64,8,2,female,68
46,71,64,8,3,female,67.5
46,71,64,8,4,female,66.5
46,71,64,8,5,female,66.5
46,71,64,8,6,female,66
46,71,64,8,7,female,65.5
46,71,64,8,8,female,65
47,71.7,64.5,4,1,male,72
47,71.7,64.5,4,2,male,71
47,71.7,64.5,4,3,male,70.5
47,71.7,64.5,4,4,female,67
48,71,64,3,1,male,68
48,71,64,3,2,male,68
48,71,64,3,3,male,68
49,71.5,64.5,7,1,male,72
49,71.5,64.5,7,2,male,71
49,71.5,64.5,7,3,male,70
49,71.5,64.5,7,4,female,66
49,71.5,64.5,7,5,female,64.5
49,71.5,64.5,7,6,female,64.5
49,71.5,64.5,7,7,female,62
50,71,64.5,2,1,male,73
50,71,64.5,2,2,female,62
51,71.2,63,2,1,female,67.5
51,71.2,63,2,2,female,64.5
52,71,63.5,5,1,male,71
52,71,63.5,5,2,male,67
52,71,63.5,5,3,female,66
52,71,63.5,5,4,female,65
52,71,63.5,5,5,female,63.5
53,71,63,9,1,male,71
53,71,63,9,2,male,70
53,71,63,9,3,male,70
53,71,63,9,4,male,64
53,71,63,9,5,female,65
53,71,63,9,6,female,65
53,71,63,9,7,female,64
53,71,63,9,8,female,63
53,71,63,9,9,female,63
54,71,63,4,1,male,71
54,71,63,4,2,male,71
54,71,63,4,3,male,70
54,71,63,4,4,female,63.5
55,71,62,5,1,male,71
55,71,62,5,2,male,70
55,71,62,5,3,female,64.5
55,71,62,5,4,female,62.5
55,71,62,5,5,female,61.5
56,71,62,5,1,male,72
56,71,62,5,2,male,70.5
56,71,62,5,3,male,70.5
56,71,62,5,4,female,64.5
56,71,62,5,5,female,60
